column,lower_bound,upper_bound,outlier_count,outlier_pct
nh3_n_flux_g_ha_day,-11.795545375,7.377135625000001,272,23.9
plotid,-198.0,634.0,3100,19.08
n2o_n_flux_g_ha_day,-12.614443125000001,22.738393875,2907,15.59
co2_r2,0.87759,1.0699260000000002,2380,14.3
soil_nitrate_n_0_10cm,-19.488850000000003,43.01475000000001,228,12.69
ch4_c_flux_g_ha_day,-6.340145,5.150515,1513,11.82
soil_ammonium_n_0_10cm,0.3425000000000029,28.122499999999995,46,11.65
ch4_r2,0.21150000000000013,1.4234999999999998,1052,9.66
co2_c_flux_kg_ha_day,-17.797955406249997,45.82799234375,1059,5.7
subsample,1.0,1.0,1069,5.7
is_growing_season,1.0,1.0,849,4.53
soil_moisture_5cm,-4.9999999999999964,51.8,214,1.62
soil_temperature_5cm,0.6500000000000004,37.849999999999994,140,0.94
month,3.0,11.0,108,0.58
day_of_year,33.625,360.625,46,0.25
n2o_r2,-0.09499999999999986,1.625,6,0.04
nh3_r2,-0.5305,1.0015,0,0.0
year,2009.0,2017.0,0,0.0
quarter,0.5,4.5,0,0.0
