feature,importance
categorical__season_summer,0.4537476112322229
numeric__day_of_year,0.372873924307587
numeric__co2_c_flux_kg_ha_day,0.033480058846619476
categorical__uniqueid_ARL,0.02590404045403583
categorical__uniqueid_MAR,0.016861181182769948
numeric__year,0.014740091308815971
categorical__uniqueid_FREEMAN,0.01353461974798268
categorical__uniqueid_WOOSTER.COV,0.012013111711227566
categorical__uniqueid_LAN,0.009465179784008258
numeric__plotid,0.007838342706743934
numeric__is_growing_season,0.006718530785330301
numeric__month,0.0051659136377584375
categorical__season_fall,0.0048905181902258255
categorical__uniqueid_SERF,0.004532795430783587
categorical__uniqueid_BRADFORD.A,0.003965686942274396
categorical__position_on_broadcast,0.0030697427008702254
numeric__ch4_r2,0.001804378504139575
categorical__uniqueid_KELLOGG,0.0017331046713365335
categorical__season_spring,0.001048022075155718
numeric__nh3_n_flux_g_ha_day,0.0009144398750713255
categorical__uniqueid_HICKS.B,0.0007743692183938935
numeric__soil_nitrate_n_0_10cm,0.0007431784236884342
numeric__n2o_n_flux_g_ha_day,0.0006555965792666129
numeric__ch4_c_flux_g_ha_day,0.0006044207025045254
numeric__n2o_r2,0.0005794971106318293
categorical__uniqueid_HOYTVILLE.LTR,0.0005033722931375875
numeric__nh3_r2,0.0004318980525257348
categorical__position_on_and_off_fert_band,0.0003529829675905286
categorical__uniqueid_WATERMAN,0.00032323129555751677
numeric__soil_ammonium_n_0_10cm,0.0002897150345160235
categorical__uniqueid_MASON,0.000236762786292411
categorical__uniqueid_HICKS.P,0.00010758609301300407
categorical__season_winter,3.976590662202292e-05
categorical__uniqueid_WOOSTER.LTR,3.617482231225453e-05
categorical__method_GC,1.981792307281734e-05
numeric__co2_r2,3.366959151910507e-07
categorical__method_PAS,0.0
categorical__position_off_fert_band,0.0
categorical__uniqueid_ISUAG,0.0
categorical__position_on_fert_band,0.0
numeric__quarter,0.0
numeric__subsample,0.0
categorical__uniqueid_HICKS.G,0.0
